term	SWT vs MWT	Nature of the term (CE vs. NE )	pattern	morpho. tag	inflected forms	frequency (lemma and forms)	most frequent form used	frequency of most frequent form used	variant (lemma)	frequency (lemma and forms)	type of variant	synonymic variant	inflected forms of the variant	most frequent form used	frequency of most frequent form used	collocational uses	COMMENTS
#SWT 																	
wireless	SWT		A	A—s		1401	wireless	1401									
application	SWT		N	Nc-s	applications	573	applications	367									
repeater	SWT		N	Nc-s	repeaters	472	repeater	234									
frequency	SWT		N	Nc-s	frequencies	308	frequency	265									
channel	SWT		N	Nc-s	channels	212	channel	139									
signal	SWT		N	Nc-s	signals	368	signal	277									
cellular	SWT		A	A—s		335	cellular	335									
cell	SWT		N	Nc-s	cells	370	cell	298									
server	SWT		N	Nc-s	servers	296	server	243									
packet	SWT		N	Nc-s	packets	158	packet	130									
traffic	SWT		N	Nc-s	traffics	383	traffic	373									
switch	SWT		N	Nc-s	switches	189	switch	179									
coverage	SWT		N	Nc-s		350	coverage	350								in-building coverage, wireless coverage, global coverage, coverage solutions	
protocol	SWT		N	Nc-s	protocols	219	protocol	160									
node	SWT		N	Nc-s	nodes	236	node	167									
subscriber	SWT		N	Nc-s	subscribers	235	subscribers	118									
spectrum	SWT		N	Nc-s	spectra, spectrums*	268	spectrum	264									
antenna	SWT		N	Nc-s	antennas	228	antenna	149									
architecture	SWT		N	Nc-s	architectures	323	architecture	291								connectivity architecture, system architecture, management architecture, product architecture	
sensor	SWT		N	Nc-s	sensors	175	sensor	158									
connection	SWT		N	Nc-s	connections	256	connection	connection									
connectivity	SWT		N	Nc-s		159	connectivity	159									
deployment	SWT		N	Nc-s	deployments	169	deployment	150									
satellite	SWT		N	Nc-s	satellites	184	satellite	148									
digital	SWT		A	A—s		238	digital	238									
speed	SWT		N	Nc-s	speeds	210	speed	158									
receiver	SWT		N	Nc-s	receivers	134	receiver	92									
provider	SWT		N	Nc-s	providers	222	providers	118									
carrier	SWT		N	Nc-s	carriers	269	carrier	185									
router	SWT		N	Nc-s	routers	88	router	57									
modem	SWT		N	Nc-s	modems	32	modem	26									
proxy	SWT		N	Nc-s	proxies	27	proxy	21									
buffer	SWT		N	Nc-s	buffers	57	buffer	53									
jitter	SWT		N	Nc-s		47	jitter	47									
authentication	SWT		N	Nc-s		81	authentication	81									
security	SWT		N	Nc-s	securities	315	security	313									
key	SWT		N	Nc-s	keys	354	key	335									
encryption	SWT		N	Nc-s		43	encryption	43									
datum	SWT		N	Nc-s	data	1078	data	1077									
bandwidth	SWT	NE	N	Nc-s		273	bandwidth	273									
broadband	SWT	NE	N	Nc-s		223	broadband	223									
broadcast	SWT	NE	N	Nc-s	broadcasts	177	broadcast	169									
