term	SWT vs MWT	Nature of the term (CE vs. NE )	pattern	morpho. tag	inflected forms	frequency (lemma and forms)	most frequent form used	frequency of most frequent form used	variant (lemma)	variant morpho.tag	frequency (lemma and forms)	type of variant	synonymic variant	inflected forms of the variant	most frequent form used	frequency of most frequent form used	collocational uses
#SWT 																	
módem	SWT	NE	N	Ncms	módems	121	módem	121									controlador de módem
conectividad	SWT	NE	N	Ncfs	conectividad	116	conectividad	116									terminal de conectividad GSM
sincronización	SWT	NE	N	Ncfs	sincronizaciones	78	sincronización	78									sincronización de un satélite geoestacionario
conector	SWT	NE	N	Ncms	conectores	53	conector	53									conector de alimentación
escalabilidad	SWT	NE	N 	Ncfs	escalabilidad	25	escalabilidad	25									clave de la escalabilidad de IMS
roaming	SWT	loan	N	Ncms	roaming	16	roaming	16	roaming internacional		8	anaphoric	yes	roaming internacional	roaming internacional	8	soporte de roaming,roaming internacional
									itinerancia		7	morphologic	yes	itinerancia	intinerancia	7	penalizaciones por itinerancia
									itinerancia internacional		2	morphologic	yes	itinerancia internacional	itinerancia internacional	2	acuerdo de itinerancia internacional
háptica	SWT	loan	A	Afs	háptico, hápticos, hápticas	14	háptica	14	interfaz háptico	Ncfs A-ms	4	syntactic	no	interfaces hápticas	interfaces hápticas	4	retroalimentación háptica, interfaz háptica para el control de las funciones
escalable	SWT	NE	A	A--s	escalables	10	escalable	10									arquitectura escalable
conmutación	SWT	NE	N	Ncfs	conmutación	117	conmutación	117	sistema de conmutación		10	syntactic	no	sistemas de conmutación	sistema de conmutación	10	velocidad de conmutación, sistema de conmutación de circuitos
direccionamiento	SWT	NE	N	Ncms	direccionamientos	10	direccionamiento	10									mecanismo de direccionamiento
acoplamiento	SWT	NE	N	Ncms	acoplamientos	8	acoplamiento	8									pérdidas de acoplamiento
modulación	SWT	NE	N	Ncms	modulaciones	50	modulación	50									técnica de modulación de frecuencias electromagnéticas
proxy	SWT	loan	N	Ncms	proxys	14	proxy	14	servidor proxy		7	syntactic	yes	servidores proxy	servidor proxy	7	tareas proxy, servicios del servidor proxy
tunneling	SWT	loan	N	Ncms	tunnelling	7	tunnelling	7									servidores mecanismo ‘tunneling’ de capa
espectro	SWT	NE	N	Ncms	espectros	153	espectro	151	banda del espectro		7	syntactic	no	bandas del espectro	bandas del espectro	6	espectro radioeléctrico
coaxial	SWT	NE	N	A-ms	coaxiales	27	coaxial	27	cable coaxial		32					19	longitud de los cables coaxiales
smartphone	SWT	loan	N	N-cms	smartphones	14	smartphones	14	teléfono inteligente	Ncms A--s	6	morphologic	yes	teléfonos inteligentes	teléfonos inteligentes	6	smartphone avanzado, nuevos modelos de teléfonos inteligentes
router	SWT	loan	N	Ncms	routers	10	routers	10									software del router
host	SWT	loan	N	N-cms	hosts	33	host	33	host móvil		44	syntactic	yes	host móviles, hosts móviles	host móvil	44	hosts fijos, ruteo para host móviles
interfaz	SWT	NE	N	Ncfs	interfaces	219	interfaz	148	interfaz de usuario		18	syntactic	no	interfaces de usuario	interfaz de usuario	18	interfaz de usuario implementada
señalización	SWT	NE	N	Ncfs	señalizaciones	78	señalización	78									protocolo de señalización
codificación	SWT	NE	N	Ncms	codificación	49	codificación	49	decodificación		8	morphologic	no	decodificación	decodificación	8	codificación de canal, decodifiación de audio
									transcodificación		1	morphologic	no	transmodificación	transmodificación	1	transcodificación audio
señal	SWT	NE	N	Ncfs	señales	526	señales	344									compresión de la señal
buffer	SWT	loan	N	Ncms	buffers	2	buffers	2									el tamaño del buffer
estandarización	SWT	NE	N	Ncms	estandarización	22	estandarización	22									estandarización de los dispositivos y sistemas
trama	SWT	NE	N	Ncfs	tramas	47	trama	26	supertrama		5	morphologic	no	supertramas	supertrama	3	estructuras de tramas TDMA
simulación	SWT	NE	N	Ncfs	simulaciones	7	simulación	7									simulación basada en agentes
																	
																	
#SWT Neoclassical																	
audio	SWT	CE	N	Ncms	audio	182	audio	182									tecnología de decodificación de audio
inalámbrica	SWT	CE	A	Afs	inalámbrico, inalámbricos, inalámbrica, inalámbricas	168	inalámbrica	168	red inalámbrico	Ncfs A-ms	28	syntactic	yes	redes inalámbricas	red inalámbrica	16	LAN inalámbrica, red inalámbrica de corto alcance
									conexión inalámbrico	Ncfs A-ms	20	syntactic	yes	conexiones inalámbricas	conexión inalámbrica	10	estándar de conexión inalámbrica
sociotécnico	SWT	CE	A	Ams	sociotécnico, sociotécnicos, sociotécnica, sociotécnicas	133	sociotécnico	133									estudio sociotécnico de las comunicaciones móviles 
portátil	SWT	CE	A	Ams	portátiles	126	portátil	63									ordenador portátil
repetidor	SWT	CE	N	Ncms	repetidores	97	repetidor	58									potencia de salida del repetidor
nodo	SWT	CE	N	Ncms	nodos	86	nodos	86									nodo de conmutación
interconexión	SWT	CE	N	Ncfs	interconexiones	270	interconexión	270									interconexión de redes telefónicas
analógico	SWT	CE	A	Afs	analógico, analógicos, analógicas, analógica	58	analógica	58	sistema analógico	Ncms A-ms	22	anaphoric	yes	sistemas analógicos	sistemas analógicos	11	teléfono analógico
									analógico-digital		1	morphologic	no	analógico-digitales	analógico-digitales	1	conversión analógico-digital
									tecnología analógico	Ncfs A-ms	8	syntactic	yes	tecnologías analógicas	tecnología analógica	8	límites de la tecnología analógica
transmisor	SWT	CE	N	Ncms	transmisores	55	transmisor	55									transmisor/receptor 
radiofrecuencia	SWT	CE	N	Ncfs	radiofrecuencias	23	radiofrecuencia	23									canales de radiofrecuencia
multiplexación	SWT	CE	N	Ncms	multiplexación	20	multiplexación	20	multiplexación espacial								multiplexación por división de onda
satelital	SWT	CE	A	A	satelitales	19	satelitales	19									antena satelital
radiocomunicación	SWT	CE	N	Ncms	radiocomunicaciones	18	radiocomunicaciones	18									sistema de radiocomunicaciones
microteléfono	SWT	CE	N	Ncms	microteléfonos	18	microteléfono	18									tecla  del microteléfono
infrarrojo	SWT	CE	N	Ncms	infrarrojos	18	infrarrojo	18	infrarrojo térmico		9	syntactic	no	infrarrojos térmicos	infrarrojo térmico	9	sistemas de comunicación por infrarrojo,banda del infrarrojo térmico
teledetección	SWT	CE	N	Ncfs	teledetección	14	teledetección	14	teledetección pasivo	Ncfs A-ms	7	syntactic	no	teledecciones pasivas	teledetección pasiva	7	teledetección pasiva
enrutamiento	SWT	CE	N	Ncms	enrutamientos	13	enrutamiento	13	encaminamiento		20	morphologic	yes	encaminamientos	encaminamiento	20	enrutamiento de mensajes
									ruteo		4	morphologic	yes	ruteos	ruteo	4	ruteo de un paquete
microprocesador	SWT	CE	N	Ncms	microprocesadores	13	microprocesadores	8									microprocesador del gateway
estéreo	SWT	CE	N	Ncms	estéreo	12	estéreo	12	estereofónica		9	morphologic	yes	estereofónico, estereofónicos, estereofónica, estereofónicas	estereofónica	9	auricular estéreo
minitoma	SWT	CE	N	Ncfs	minitomas	11	minitoma	11									minitoma de auriculares
antena	SWT	CE	N	Ncfs	antenas	271	antena	147	antena omnidireccional		4	syntactic	no	antenas omnidireccionales	antenas omnidireccionales	2	antena de televisión por satélite
autómata	SWT	CE	N	Ncms	autómatas	10	autómata	10									autómata programable
datagrama	SWT	CE	N	Ncfs	datagramas	8	datagramas	8									protocolo datagrama
diafonía	SWT	CE	N	Ncfs	diafonía	8	diafonía	8	diafonía digital		8	syntactic	yes	diafonías digitales	diafonía digital	8	control de la diafonía digital, diafonía acústica
hiperconectado	SWT	CE	A	A-ms	hiperconectados, hiperconectada, hiperconectadas	7	hiperconectada	7									mundo hiperconectado
antropotécnica	SWT	CE	A	A-fs	antropotécnicos, antropotécnica, antropotécnicas	6	antropotécnica	6									complejidad antropotécnica
interferencia	SWT	CE	N	Ncfs	interferencias	126	interferencia	89									interferencia de las ondas
topología	SWT	CE	N	Ncfs	topología	14	topología	14									topología de la red
electromagnético	SWT	CE	A	A-fs	electromagnética, electromagnéticos, electromagnéticas	14	electronmagnética	14									banda del espectro electromagnético
intranet	SWT	CE	N	Ncfs	intranets	10	intranets	10									intranet empresarial
encriptación	SWT	CE	N	Ncms	encriptación	22	encriptación	22	criptografía		20	morphologic	no	criptografía	criptografí	20	encriptación de la información, protocolos de criptografía 
radiotelefonía	SWT	CE	N	Ncfs	radiotelefonía	7	radiotelefonía	7									equipo de radiotelefonía móvil
transpondedores	SWT	CE	N	Ncms	transpondedores	7	transpondedores	7									laboratorio vía transpondedores
																	
																	
																	
#MWT																	
comunicación móvil	MWT		NA	Ncfs A--s	comunicaciones móviles	642	comunicaciones móviles	341									comunicación móvil de datos
transmisión de dato	MWT		N Sp N	Ncfs Sp Ncms	transmisiones de datos, transmisión de datos	215	transmisión de datos	102									transmisión de dato fijo-móvil
dispositivo móvil	MWT		NA	Ncms A--s	dispositivos móviles	204	dispositivos móviles	80	dispositivo inalámbrico	Ncms A-ms	21	morphologic	yes	dispositivos inalámbricos	dispositivos inalámbricos	12	dispositivo móvil de fax compatible, uso del dispositivo inalámbrico
									dispositivo portátil		16	morphologic	yes	dispositivos portátiles	dispositivos portátiles	9	dispositivo portátil compatible
									dispositivo de comunicación móvil		2	syntactic	yes	dispositivos de comunicación móviles	dispositivos de comunicación móviles	2	microprocesadores para dispositivos de comunicación móviles
estación base	MWT		N N	Ncfs Ncfs	estaciones base	186	estación base	79									subsistema de estación base
terminal móvil	MWT		NA	Ncfs A--s	terminales móviles	186	terminal móvil	96	terminal de telefonía móvil		2	anaphoric	yes	terminales de telefonía móvil	terminal de telefonía móvil	2	antena del terminal móvil,recepción de los terminales de telefonía móvil 3G
cable radiante	MWT		NA	Ncms A--s	cables radiantes	130	cable radiante	60									solución con cable radiante
red telefónica	MWT		NA	Ncfs A-fs	redes telefónicas	121	red telefónica	42	red móvil		65	syntactic	yes	redes móviles	redes móviles	27	red telefónica analógica
									red de telefonía		35	syntactic	yes	redes de telefonía	red de telefonía	20	red de telefonía local
									red de telefonía móvil		24	syntactic	yes	redes de telefonía móvil	red de telefonía móvil	16	sistemas de señalización de la red de telefonía móvil
estación móvil	MWT		NA	Ncfs A--s	estaciones móviles	108	estación móvil	30									subsistema de Estación móvil
