term	SWT vs MWT	Nature of the term (CE vs. NE )	pattern	morpho. tag	inflected forms	frequency (lemma and forms)	most frequent form used	frequency of most frequent form used	variant (lemma)	frequency (lemma and forms)	type of variant	synonymic variant	inflected forms of the variant	most frequent form used	frequency of most frequent form used	collocational uses
#SWT 																
serveur	SWT	NE	N	Ncms	serveurs	363	serveur	325								
paramètre	SWT	NE	N	Ncms	paramètres 	551	paramètres 	481								
congestion	SWT	NE	N	Ncfs		231	congestion	231								contrôle de congestion, fenêtre de congestion, phase de congestion
codage	SWT	NE	N	Ncms	codages	196	codage	188	décodage	41	morphological	no	décodages	décodage	40	
synchronisation	SWT	NE	N	Ncfs	synchronisations	108	synchronisation	107								
utilisateur	SWT	NE	N	Ncms	utilisateurs	787	utilisateur	451								
destinataire	SWT	NE	N	Ncms	destinataires	90	destinataire	63								
protocole	SWT	NE	N	Ncms	protocoles 	419	protocole	274								
plateforme	SWT	NE	N	Ncfs	plateformes	151	plateforme	129	plate-forme	66	graphical	yes		plate-forme	66	
dimensionnement	SWT	NE	N	Ncms		136	dimensionnement	136								
acquittement	SWT	NE	N	Ncms	acquittements	63	acquittement	47								
numérique	SWT	NE	A	A-ms	numériques	85	numériques	45								
paquet	SWT	NE	N	Ncms	paquets	520	paquets	292								
spécification	SWT	NE	N	Ncfs	spécifications	55	spécifications	31								
messagerie	SWT	NE	N	Ncfs	messageries	125	messagerie	123								
débit	SWT	NE	N	Ncms	débits	442	débit	391								
noeud	SWT	NE	N	Ncms	nœuds	100	noeud	96								
configuration	SWT	NE	N	Ncfs	configurations	247	configuration	203								
architecture	SWT	NE	N	Ncfs	architectures	355	architecture	300								
standard	SWT	NE	N	Ncms	standards	246	standard	163								
émetteur	SWT	NE	N	Ncms	émetteurs	89	émetteur	88								
authentification	SWT	NE	N	Ncfs	authentifications	72	authentification	71								
simulateur	SWT	NE	N	Ncms	simulateurs	41	simulateur	37								
initialisation	SWT	NE	N	Ncfs		41	initialisation	41	réinitialisation	41	morphological	no		réinitialisation	41	
compatible	SWT	NE	A	A-ms	compatibles	47	compatible	27								
