term	SWT vs MWT	Nature of the term (CEvs. native )	pattern	morpho. tag	inflected forms	frequency (lemma and forms)	most frequent form used	frequency of most frequent form used	variant (lemma)	frequency (lemma and forms)	type of variant	synonymic variant	inflected forms of the variant	most frequent form used	frequency of most frequent form used	collocational uses
SWT																
Aerodynamik	SWT		NN	Ncfs	Aerodynamik	13	Aerodynamik	13	-	-	-	-	-	-	-	Aerodynamik des Windrotors
Anergie	SWT		NN	Ncfs	Anergie	21	Anergie	21	-	-	-	-	-	-	-	Aufnahme der Anergie
Anode	SWT		NN	Ncfs	Anode, Anoden	101	Anode	96	-	-	-	-	-	-	-	Anodenmaterial, Potential der Anode, Lebenszeit der Anode, Anode oder Katode
Asynchronmaschine	SWT		NN	Ncfs	Asynchronmaschine, Asynchronmaschinen	59	Asynchronmaschine	45	-	-	-	-	-	-	-	Einphasen-Asynchronmaschine, Dreiphasen-Asynchronmaschine, Drehstrom-Asynchronmaschine, Wirkungsgrad der Asynchronmaschine
Bahnstrom	SWT		NN	Ncms	Bahnstrom, Bahnstroms, Bahnstromes	40	Bahnstrom	32	-	-	-	-	-	-	-	einphasiger Beistrom, Generator für Bahnstrom, Erzeugung von Bahnstrom
Blindleistung	SWT		NN	Ncfs	Blindleistung, Blindleistungen	85	Blindleistung	84	-	-	-	-	-	-	-	Blindleistungverlust, kapazitive Blindleistung, statischer Blindleistungskompensator, induktive Blindleistung
Blindstrom	SWT		NN	Ncms	Blindstrom, Blindstroms, Blindstromes	42	Blindstrom	36	-	-	-	-	-	-	-	induktiver Blindstrom, kapazitiver Blindstrom, Blindstromanteil, Blindstromkompensation einer Leitung
Drehstrom	SWT		NN	Ncms	Drehstrom, Drehstroms, Drehstromes	79	Drehstrom	77	-	-	-	-	-	-	-	Verwendung von Drehstrom, erzeugter Drehstrom, niederpoliger Drehstrom-Synchrongenerator
Dreiphasenwechselstrom	SWT		NN	Ncms	Dreiphasenwechselstrom, Dreiphasenwechselstroms, Dreiphasenwechselstromes, Dreiphasenwechselströme, Dreiphasenwechselströmen	38	Dreiphasenwechselstrom	36	Dreiphasen-Wechselstrom	3	graphical	yes	Drephasen-Wechselstrom, Dreiphasen-Wechselstroms, Dreiphasen-Wechselstromes, Dreiphasen-Wechselströme, Dreiphasen-Wechselströmen	Dreiphasen-Wechselstrom	3	Dreiphasenwechselstromnetz, Dreiphasenwechselstrom-Transformator
