DNS	﻿A.D.N.
Desoxyribonukleinsäure	A.D.N.
Jugendherberge	A.J.
Wohngeld	A.P.L.
Arbeitslosenversicherung	A.S.S.E.D.I.C.
Abchasien	Abkhazie
Abraham	Abraham
Allgemeines Zoll- und Handelsabkommen	Accord général sur les tarifs douaniers et le commerce
GATT	Accord général sur les tarifs douaniers et le commerce
Achill	Achille
Achilles	Achille
Adam	Adam
Adolf	Adolphe
Adele	Adèle
Adelheid	Adélaïde
Afghanistan	Afghanistan
Afrika	Afrique
Südafrika	Afrique du sud
Internationale Atomenergie Agentur	Agence Internationale de l'Energie Atomique
Internationale Atomenergie-Agentur	Agence Internationale de l'Energie Atomique
Weltatombehörde	Agence Internationale de l'Energie Atomique
Agnes	Agnès
Aachen	Aix-la-Chapelle
Alemannen	Alaman
Alaska	Alaska
Albanien	Albanie
Aleppo	Alep
Alexander	Alexandre
Algier	Alger
Deutschland	Allemagne
Westdeutschland	Allemagne occidentale
Alfons	Alphonse
Elsaß	Alsace
Durchlaucht	Altesse sérénissime
Amadeus	Amédée
Amalie	Amélie
Amerika	Amérique
Südamerika	Amérique du Sud
Ancona	Ancône
Andromache	Andromaque
Andreas	André
Andrea	Andrée
England	Angleterre
Angela	Angèle
Angelika	Angélique
Anna	Anne
Anne	Anne
Antarktis	Antarctique
Südpol	Antarctique
Anton	Antoine
Antonius	Antoine
Antichrist	Antéchrist
Antwerpen	Anvers
Aosta	Aoste
Apoll	Apollon
Apollo	Apollon
Jüngling	Apollon
schöner Mann	Apollon
Aquitanien	Aquitaine
Saudi-Arabien	Arabie Saoudite
Archimedes	Archimède
Arktis	Arctique
Argentinien	Argentine
Ariadne	Ariane
Ariane	Ariane
Aristoteles	Aristote
Hermann	Armand
Englische Königliche Luftwaffe	Armée de l'Air Britannique
Arno	Arnaud
Arnold	Arnaud
Arthur	Arthur
Artur	Arthur
Asien	Asie
Bundesversammlung	Assemblée fédérale
UNO-Vollversammlung	Assemblée générale de l'ONU
UNO-Vollversammlung	Assemblée générale des Nations unies
Abgeordnetenhaus	Assemblée nationale
Abgeordnetenkammer	Assemblée nationale
Assisi	Assise
Athen	Athènes
Attila	Attila
Etzel	Attila
August	Auguste
Augustus	Auguste
Augustinus	Augustin
Austerlitz	Austerlitz
Advent	Avent
Adventszeit	Avent
Marineflieger	Aéronavale
Marinefliegertruppe	Aéronavale
elegant	B.C.B.G.
piekfein	B.C.B.G.
schick	B.C.B.G.
schnieke	B.C.B.G.
smart	B.C.B.G.
BCG-Schutzimpfung	B.C.G.
Comic	B.D.
Comics	B.D.
Berufsschulabschluß	B.E.P.
mittlere Reife	B.E.P.C.
BASIC	BASIC
BBC	BBC
Babylon	Babylone
Bacchus	Bacchus
Bahamainseln	Bahamas
Bahamas	Bahamas
Bahrain	Bahreïn
Belchen	Ballon
Weltbank	Banque mondiale
Barbados	Barbade
Blaubart	Barbe-Bleue
Barbarossa	Barberousse
Barcelona	Barcelone
Bastille	Bastille
Balduin	Baudouin
Bayern	Bavière
Belgien	Belgique
Belgrad	Belgrade
Benelux	Benelux
Beneluxunion	Benelux
Benjamin	Benjamin
Benedikt	Benoît
Bergamo	Bergame
Berlin	Berlin
Bermudas	Bermudes
Bernhard	Bernard
Bern	Berne
Berta	Berthe
Bertram	Bertrand
Bethlehem	Bethléem
Beirut	Beyrouth
Bhutan	Bhoutan
Bibel	Bible
Biel	Bienne
Birma	Birmanie
Bissau	Bissau
Belorußland	Biélorussie
Blasius	Blaise
Bianca	Blanche
Schneewittchen	Blanche-Neige
Boccaccio	Boccace
Bolivien	Bolivie
Bologna	Bologne
Bozen	Bolzano
Bonifaz	Boniface
Bordeaux	Bordeaux
Borneo	Bornéo
Bosporus	Bosphore
Botswana	Botswana
Buddha	Bouddha
Buchara	Boukhara
Bourbon	Bourbon
Burjatien	Bouriatie
Börse	Bourse
Warenbörse	Bourse de commerce
Warenbörse	Bourse de marchandises
Fondsbörse	Bourse de valeurs
Börse	Bourse des valeurs
Fondsbörse	Bourse des valeurs
Becquerel	Bq
Brandenburg	Brandebourg
Preßburg	Bratislava
Brazzavile	Brazzaville
Brest	Brest
Bridgetown	Bridgetown
Brigitte	Brigitte
Brügge	Bruges
Braunschweig	Brunswick
Brüssel	Bruxelles
Brasilien	Brésil
Bremen	Brême
Bukarest	Bucarest
Budapest	Budapest
Buenos Aires	Buenos Aires
Bulgarien	Bulgarie
Bundesrat	Bundesrat
Bundestag	Bundestag
Bundeswehr	Bundeswehr
Burgenland	Burgenland
Burkina Faso	Burkina Faso
Burundi	Burundi
Byzanz	Byzance
Basel	Bâle
Beatrice	Béatrice
Beatrix	Béatrice
Widder	Bélier
Benin	Bénin
CAD	C.A.O.
computer-aided design	C.A.O.
Facharbeiterbrief	C.A.P.
Gesellenbrief	C.A.P.
Gesellenprüfung	C.A.P.
EG	C.E.E.
EWG	C.E.E.
Europäische Wirtschaftsgemeinschaft	C.E.E.
Progymnasium	C.E.S.
Realschule	C.E.S.
FCKW	C.F.C.
Universitätsklinikum	C.H.U.
IOK	C.I.O.
quod erat demonstrandum	C.Q.F.D.
was zu beweisen war	C.Q.F.D.
Studentenwerk	C.R.O.U.S.
Bereitschaftspolizist	C.R.S.
KSZE	C.S.C.E.
Lebenslauf	C.V.
CAPES	CAPES
Sporthochschule	CREPS
Calvin	Calvin
Camilla	Camille
Camillo	Camille
Canberra	Canberra
Steinbock	Capricorne
Caracas	Caracas
Kariben	Caraïbes
Karoline	Caroline
Carrara	Carrare
Karthago	Carthage
Fastenzeit	Carême
Kassandra	Cassandre
Katharina	Catherine
Causse	Causse
Cayenne	Cayenne
Kain	Caïn
Celsius	Celsius
Aschenbrödel	Cendrillon
Aschenputtel	Cendrillon
Zerberus	Cerbère
Ceylon	Ceylan
Unterhaus	Chambre des Communes
Parlament	Chambre des Représentants
Volksvertretung	Chambre des Représentants
Unterhaus	Chambre des communes
Bundeskanzleramt	Chancellerie fédérale
Schanghai	Changhaï
Shanghai	Changhaï
Karl der Große	Charlemagne
Karl	Charles
Charlie Chaplin	Charlot
Charlotte	Charlotte
Lotte	Charlotte
Sehr geehrter	Cher
Sehr geehrter Herr	Cher Monsieur
Chile	Chili
Chinesenviertel	Chinatown
China	Chine
Christus	Christ
Christian	Christian
Christiane	Christiane
Christine	Christine
Christoph	Christophe
Christophorus	Christophe
Zypern	Chypre
Sehr geehrte	Chère
Sehr geehrte Frau	Chère Madame
Cicero	Cicéron
Westjordanland	Cisjordanie
City	City
Klara	Claire
Claudia	Claude
Claudius	Claude
Cleveland	Cleveland
Chlodwig	Clovis
Automobilklub	Club automobile
Clemens	Clément
Klemens	Clément
Kleopatra	Cléopâtre
Koblenz	Coblence
Köln	Cologne
Colombo	Colombo
Wohlfahrtsausschuß	Comité de salut public
EWG	Communauté Economique Européenne
EWG	Communauté Économique Européenne
Europäische Wirtschaftsgemeinschaft	Communauté Économique Européenne
Europäische Wirtschaftsgemeinschaft	Communauté économique européenne
Conakry	Conakry
Konfuzius	Confucius
Kongo	Congo
Amerikanischer Kongreß	Congrès américain
Weltfriedensrat	Conseil Mondial de la Paix
Sicherheitsrat	Conseil de Sécurité
UNO-Sicherheitsrat	Conseil de securite des Nations unies
Weltsicherheitsrat	Conseil de sécurité
UNO-Sicherheitsrat	Conseil de sécurité de l’ONU
Weltsicherheitsrat	Conseil de sécurité des Nations Unies
Bundesrat	Conseil fédéral
Wirtschaftsrat	Conseil économique
Constanze	Constance
Konstanz	Constance
Konstanze	Constance
Konstantinopel	Constantinople
Verfassung	Constitution
Gegenreformation	Contre-Réforme
Friedenskorps	Coopération pour l'aide aux pays en développement
Kopenhagen	Copenhague
Kopernikus	Copernic
Koran	Coran
Córdoba	Cordoue
