EFTA	﻿A.E.L.E.
AFNOR	A.F.N.O.R.
DO	AC
AEE	ASE
Afganistán	Afghanistan
África	Afrique
Albania	Albanie
Argelia	Algérie
Alemania	Allemagne
Alemania Oriental	Allemagne de l'Est
Alteza	Altesse
América	Amérique
Norteamérica	Amérique du Nord
Hispanoamérica	Amérique latine
Antiguo Régimen	Ancien Régime
Andorra	Andorre
Inglaterra	Angleterre
Anunciación	Annonciation
Antillas	Antilles
Arabia Saudita	Arabie saoudite
Arabia Saudí	Arabie saoudite
Argentina	Argentine
Ascensión	Ascension
Asia	Asie
Australia	Australie
Austria	Autriche
avemaría	Ave maria
adviento	Avent
cómic	B.D.
historieta	B.D.
Balanza	Balance
Libra	Balance
Bangkok	Bangkok
Bélgica	Belgique
Belice	Belize
Beirut	Beyrouth
Birmania	Birmanie
Bielorrusia	Biélorussie
Bolivia	Bolivie
Bosnia	Bosnie
Bolsa	Bourse
bolsa	Bourse
Brasil	Brésil
Bulgaria	Bulgarie
Aries	Bélier
Carnero	Bélier
CAD	C.A.O.
C.E.	C.E.
CE	C.E.
C.E.E.	C.E.E.
CEE	C.E.E.
Canadá	Canada
Cáncer	Cancer
Capricornio	Capricorne
tarjeta Visa	Carte Bleue
Cuaresma	Carême
Ceilán	Ceylan
Ceylán	Ceylan
Chile	Chili
China	Chine
Cristo	Christ
Chipre	Chypre
Coliseo	Colisée
Colombia	Colombie
colombina	Colombine
Mancomunidad Británica	Commonwealth
mancomunidad	Commonwealth
autonomía	Communauté autonome
compact disc	Compact Disc
Concorde	Concorde
Corán	Coran
Corea	Corée
Costa Rica	Costa Rica
Tribunal Supremo	Cour de cassation
tribunal de casación	Cour de cassation
Croacia	Croatie
Creta	Crète
Cuba	Cuba
cubalibre	Cuba-libre
posesiones de ultramar	D.O.M.-T.O.M.
posesiones ultramarinas	D.O.M.-T.O.M.
Damasco	Damas
Dinamarca	Danemark
Dios	Dieu
Dr.	Dr
Dra.	Dr
posesiones de ultramar	Départements et Territoires d'outre-mer
posesiones ultramarinas	Départements et Territoires d'outre-mer
E/S	E/S
ECU	ECU
ecu	ECU
infiernos	Enfer
España	Espagne
del este	Est
este	Est
oriental	Est
levante	Est
oriente	Est
Estonia	Estonie
Europa	Europe
Europa Occidental	Europe Occidentale
Europa Oriental	Europe de l'Est
Fahrenheit	Fahrenheit
Finlandia	Finlande
Francia	France
Gambia	Gambie
Gran Ducado de Luxemburgo	Grand Duché de Luxembourg
Gran Bretaña	Grande-Bretagne
Granada	Grenade
Groenlandia	Groenland
Grecia	Grèce
Guatemala	Guatemala
Guinea	Guinée
Guayana	Guyana
Gemelos	Gémeaux
Géminis	Gémeaux
Haití	Haïti
Holanda	Hollande
Honduras	Honduras
Hong Kong	Hong-Kong
Hongkong	Hong-Kong
Hungría	Hongrie
interrupción del embarazo	I.V.G.
IDE	IDS
INRI	INRI
ISBN	ISBN
Mauricio	Ile Maurice
Islas de Cabo Verde	Iles du Cap Vert
India	Inde
Irak	Irak
Iraq	Irak
Irak	Iraq
Iraq	Iraq
Irlanda	Irlande
Islandia	Islande
Israel	Israël
Italia	Italie
Jamaica	Jamaïque
Japón	Japon
Jueves	Jeudi saint
Júpiter	Jupiter
Jesús	Jésus
Jesucristo	Jésus-Christ
Kenia	Kenya
Kirguizistán	Kirghizistan
Kuwait	Koweït
La Granada	La Grenade
Letonia	Lettonie
Líbano	Liban
Libia	Libye
Leo	Lion
Lituania	Lituanie
Lotería	Loterie nationale
Luxemburgo	Luxembourg
lycra	Lycra
socorrista	M.N.S.
Distinguida Señora	Madame
Estimada Señora	Madame
Muy Señora mía	Madame
Muy Señora nuestra	Madame
Señora	Madame
Señora mía	Madame
Señora nuestra	Madame
alcaldesa	Madame le maire
Distinguida Señorita	Mademoiselle
Señorita	Mademoiselle
Majestad	Majesté
Malasia	Malaisie
Malaysia	Malaisie
Malta	Malte
Manila	Manille
Marruecos	Maroc
Marte	Mars
Mauritania	Mauritanie
maicena	Maïzena
Mercurio	Mercure
Distinguidas Señoritas	Mesdames
Muy Señoras mías	Mesdames
Muy Señoras nuestras	Mesdames
Señoras mías	Mesdames
Señoras nuestras	Mesdames
Muy Señores míos	Messieurs
Muy Señores nuestros	Messieurs
Señores míos	Messieurs
Señores nuestros	Messieurs
Méjico	Mexico
México	Mexico
Méjico	Mexique
México	Mexique
Mónaco	Monaco
Mongolia	Mongolie
Distinguido Señor	Monsieur
Estimado Señor	Monsieur
Muy Señor mío	Monsieur
Muy Señor nuestro	Monsieur
Señor	Monsieur
Señor mío	Monsieur
Señor nuestro	Monsieur
medievo	Moyen-Âge
medioevo	Moyen-Âge
Mozambique	Mozambique
Namibia	Namibie
Naciones Unidas	Nations-Unies
Neptuno	Neptune
Nicaragua	Nicaragua
Níger	Niger
Noruega	Norvège
padrenuestro	Notre Père
Navidad	Noël
Pascua de Navidad	Noël
Navidad	Noël
Nepal	Népal
O.K.	O.K.
bien	O.K.
de acuerdo	O.K.
okey	O.K.
vale	O.K.
ONG	O.N.G.
obrero cualificado	O.P.
ordenador personal	O.P.
oferta pública de intercambio de valores	O.P.E.
OTAN	O.T.A.N.
O.P.E.P.	OPEP
Occidente	Occident
Oceanía	Océanie
Uganda	Ouganda
PIB	P.N.B.
PNB	P.N.B.
Correos	P.T.T.
Teléfonos	P.T.T.
Telégrafos	P.T.T.
Pan de Azúcar	Pain de sucre
Palestina	Palestine
Panamá	Panama
Paraguay	Paraguay
eurocámara	Parlement européen
Países Bajos	Pays-Bas
Filipinas	Philippines
Islas Filipinas	Philippines
Pisa	Pise
Plutón	Pluton
Polonia	Pologne
Pompeya	Pompéi
Puerto Rico	Porto Rico
Portugal	Portugal
Puerto Rico	Puerto Rico
coco	Père fouettard
Pekín	Pékin
Perú	Pérou
IQ	Q.I.
R.D.A.	R.D.A.
R.F.A.	R.F.A.
comedor universitario	R.U.
estilo renacentista	Renaissance
Rumanía	Roumanie
Reino Unido	Royaume-Uni
Rusia	Russie
luteranismo	Réforme
Regencia de Felipe de Orleáns	Régence
República Federal de Alemania	République Fédérale d'Allemagne
República Dominicana	République dominicaine
República Checa	République tchèque
S.A.	S.A.
S.L.	S.A.R.L.
fondo de inversión	S.I.C.A.V.
sociedad gestora de fondos de inversión	S.I.C.A.V.
SME	S.M.E.
por favor	S.V.P.
Arquero	Sagittaire
Sagitario	Sagittaire
santo Domingo	Saint-Domingue
San Marino	Saint-Marin
día de San Silvestre	Saint-Sylvestre
noche vieja	Saint-Sylvestre
Santa Virgen	Sainte Vierge
Virgen	Sainte Vierge
El Salvador	Salvador
Saturno	Saturne
tónica	Schweppes
Escorpio	Scorpion
Escorpión	Scorpion
serbia	Serbie
Siam	Siam
Sierra Leone	Sierra Léone
Singapur	Singapour
Eslovaquia	Slovaquie
Eslovenia	Slovénie
Somalia	Somalie
Sudan	Soudan
Sri Lanka	Sri Lanka
sta.	Ste
del sur	Sud
mediodía	Sud
meridional	Sud
Sur	Sud
Suiza	Suisse
suecia	Suède
Siria	Syrie
Senado	Sénat
Senegal	Sénégal
servicio de seguridad	Sûreté
camiseta	T-shirt
remera	T-shirt
TAO	T.A.O.
Tahití	Tahiti
Taití	Tahiti
Tanzania	Tanzanie
Tauro	Taureau
Toro	Taureau
Taiwan	Taïwan
Chad	Tchad
Tailandia	Thaïlande
termo	Thermos
tercer mundo	Tiers-Monde
Trinidad y Tobago	Trinidad et Tobago
Trinidad	Trinité
Tesoro público	Trésor
erario	Trésor
hacienda pública	Trésor
oficina de hacienda departamental o regional en Francia	Trésorerie générale
Tunicia	Tunisie
Túnez	Tunisie
Turquía	Turquie
departamento	U.E.R.
U.R.S.S.	U.R.S.S.
EE.UU	U.S.A.
Unicef	UNICEF
Ucrania	Ukraine
Unicef	Unicef
Urano	Uranus
Uruguay	Uruguay
uruguay	Uruguay
mountain bike	V.T.T.
Valencia	Valence
Viernes Santo	Vendredi saint
Venezuela	Venezuela
Acuario	Verseau
Aguador	Verseau
Santa Virgen	Vierge
Virgen	Vierge
Virgo	Vierge
virgo	Vierge
Vietnam	Viêtnam
Vía Láctea	Voie lactée
Venus	Vénus
aseo	W.C.
cuarto de aseo	W.C.
excusado	W.C.
lavabo	W.C.
retrete	W.C.
servicios	W.C.
water	W.C.
wáter	W.C.
váter	W.C.
wáter	W.C.
Yugoslavia	Yougoslavie
Zambia	Zambie
Zaire	Zaïre
abecedario	a b c
abecé	a b c
a posteriori	a posteriori
posteriori	a posteriori
a priori	a priori
priori	a priori
a priori	a priori
primera impresión	a priori
achicador	abaissant
degradante	abaissant
humillante	abaissant
rebaja	abaissement
recorte	abaissement
reducción	abaissement
abaratar	abaisser
achicar	abaisser
bajar	abaisser
degradar	abaisser
denigrar	abaisser
empequeñecer	abaisser
rebajar	abaisser
rebajarse	abaisser
reducir	abaisser
abandonamiento	abandon
abandono	abandon
arrinconamiento	abandon
cesión	abandon
desamparo	abandon
desolación	abandon
renuncia	abandon
soledad	abandon
abandonar	abandonner
apearse de	abandonner
ceder	abandonner
claudicar	abandonner
dejar	abandonner
dejar de	abandonner
desamparar	abandonner
desasistir	abandonner
deshabitar	abandonner
rendirse	abandonner
renunciar	abandonner
renunciar a	abandonner
abandonado	abandonné
aislado	abandonné
desamparado	abandonné
desierto	abandonné
ábaco	abaque
anonadado	abasourdi
atarantado	abasourdi
aturdido	abasourdi
atónito	abasourdi
desconcertado	abasourdi
perplejo	abasourdi
asordar	abasourdir
atarantar	abasourdir
atronar	abasourdir
aturdir	abasourdir
dejar atónito	abasourdir
dejar estupefacto	abasourdir
dejar pasmado	abasourdir
dejar perplejo	abasourdir
desconcertar	abasourdir
ensordecer	abasourdir
pasmar	abasourdir
estupefacción	abasourdissement
estupor	abasourdissement
pasmo	abasourdissement
pantalla	abat-jour
tulipa	abat-jour
alpende	abat-vent
cobertizo	abat-vent
asaduras	abats
despojo	abats
menudillos	abats
derribo	abattage
matanza	abattage
sacrificio	abattage
tala	abattage
ala	abattant
abatimiento	abattement
anonadación	abattement
anonadamiento	abattement
decaimiento	abattement
deducción	abattement
desaliento	abattement
zangarriana	abattement
despojo	abattis
despojos	abattis
menudillos	abattis
matadero	abattoir
abatir	abattre
acabar con	abattre
agotar	abattre
cortar	abattre
demoler	abattre
derribar	abattre
derruir	abattre
derrumbar	abattre
desalentar	abattre
